Week,Customer_ID,Churn_Score,Risk_Level
Week 1,0,0.46217808319315373,Medium
Week 1,1,0.8655000144869414,High
Week 1,2,0.7123957592679835,High
Week 1,3,0.6190609389379256,Medium
Week 1,4,0.3092130483097056,Low
Week 2,0,0.30919616423534185,Low
Week 2,1,0.24065852851773964,Low
Week 2,2,0.8063233020424545,High
Week 2,3,0.6207805082202462,Medium
Week 2,4,0.6956508044572318,Medium
Week 3,0,0.21440914600706173,Low
Week 3,1,0.8789368965133959,High
Week 3,2,0.7827098485602952,High
Week 3,3,0.3486373774747933,Low
Week 3,4,0.32727747704497046,Low
Week 4,0,0.3283831568974037,Low
Week 4,1,0.4129695700716764,Medium
Week 4,2,0.5673295021425665,Medium
Week 4,3,0.502361513049481,Medium
Week 4,4,0.40386039813862934,Medium
