user_id,book_id,rating
U0058,B0007,3
U0053,B0174,5
U0017,B0008,1
U0014,B0144,2
U0215,B0057,4
U0082,B0179,4
U0111,B0196,3
U0050,B0092,3
U0236,B0138,1
U0151,B0161,5
U0036,B0012,2
U0120,B0026,4
U0084,B0095,3
U0037,B0156,2
U0084,B0119,4
U0113,B0176,3
U0118,B0009,3
U0109,B0146,3
U0203,B0165,4
U0127,B0191,5
U0220,B0150,4
U0261,B0127,1
U0079,B0161,2
U0033,B0099,4
U0129,B0142,1
U0275,B0193,3
U0058,B0076,4
U0135,B0129,2
U0260,B0156,2
U0277,B0200,5
U0251,B0005,1
U0030,B0062,5
U0036,B0195,5
U0244,B0141,2
U0217,B0055,5
U0160,B0103,3
U0062,B0064,2
U0284,B0059,5
U0031,B0059,1
U0264,B0061,3
U0277,B0034,5
U0243,B0105,2
U0182,B0109,4
U0051,B0016,4
U0128,B0050,2
U0217,B0047,3
U0227,B0141,1
U0008,B0024,2
U0247,B0055,4
U0002,B0100,3
U0285,B0170,4
U0112,B0015,5
U0161,B0015,1
U0272,B0041,1
U0036,B0153,1
U0062,B0146,2
U0042,B0108,5
U0134,B0053,3
U0068,B0172,3
U0005,B0118,5
U0276,B0055,5
U0036,B0063,3
U0279,B0181,3
U0005,B0171,5
U0069,B0068,1
U0080,B0070,3
U0105,B0176,3
U0027,B0024,4
U0171,B0198,2
U0227,B0142,4
U0039,B0177,2
U0299,B0142,2
U0158,B0094,1
U0053,B0091,5
U0122,B0042,2
U0171,B0106,2
U0196,B0010,4
U0180,B0079,2
U0205,B0085,3
U0180,B0165,5
U0170,B0008,1
U0136,B0010,1
U0161,B0112,5
U0296,B0049,3
U0001,B0134,5
U0187,B0111,1
U0161,B0170,1
U0159,B0171,4
U0284,B0033,2
U0090,B0158,5
U0001,B0078,3
U0165,B0120,4
U0262,B0122,2
U0264,B0170,5
U0159,B0058,2
U0126,B0122,5
U0213,B0162,5
U0254,B0103,2
U0055,B0200,4
U0238,B0013,5
U0069,B0119,5
U0227,B0157,5
U0082,B0191,4
U0142,B0197,5
U0141,B0113,1
U0140,B0086,3
U0078,B0060,4
U0033,B0107,4
U0213,B0016,2
U0011,B0196,5
U0181,B0077,4
U0113,B0125,2
U0015,B0100,3
U0085,B0120,2
U0202,B0152,5
U0220,B0035,4
U0195,B0084,2
U0195,B0072,4
U0010,B0192,5
U0036,B0200,1
U0103,B0006,5
U0243,B0172,1
U0132,B0197,3
U0059,B0200,2
U0014,B0080,5
U0102,B0020,5
U0053,B0179,3
U0290,B0011,3
U0036,B0130,3
U0055,B0111,3
U0223,B0046,5
U0276,B0199,4
U0138,B0083,2
U0125,B0193,4
U0173,B0008,4
U0109,B0091,3
U0142,B0143,1
U0124,B0185,4
U0244,B0166,4
U0151,B0057,4
U0298,B0095,4
U0218,B0191,5
U0139,B0079,3
U0162,B0031,5
U0099,B0056,4
U0269,B0153,3
U0117,B0093,2
U0065,B0071,1
U0065,B0164,4
U0146,B0121,4
U0027,B0065,4
U0252,B0019,5
U0078,B0039,5
U0061,B0143,4
U0116,B0199,5
U0153,B0151,4
U0031,B0157,1
U0136,B0170,1
U0283,B0020,2
U0241,B0075,1
U0233,B0019,2
U0102,B0109,1
U0137,B0037,1
U0292,B0074,4
U0207,B0070,5
U0042,B0154,1
U0129,B0007,1
U0011,B0196,3
U0241,B0133,4
U0224,B0163,4
U0210,B0086,3
U0169,B0106,4
U0282,B0010,4
U0166,B0030,4
U0237,B0106,1
U0256,B0161,4
U0137,B0141,2
U0063,B0008,5
U0160,B0142,1
U0116,B0030,4
U0256,B0184,3
U0213,B0124,4
U0075,B0099,2
U0036,B0071,4
U0002,B0073,3
U0077,B0115,5
U0283,B0196,5
U0097,B0179,2
U0211,B0012,3
U0198,B0170,2
U0258,B0152,3
U0270,B0117,1
U0080,B0020,4
U0204,B0167,1
U0195,B0082,4
U0036,B0061,3
U0223,B0026,1
U0015,B0012,3
U0192,B0111,2
U0290,B0175,2
U0196,B0159,2
U0119,B0119,3
U0239,B0074,5
U0177,B0151,3
U0234,B0078,2
U0122,B0098,5
U0152,B0006,4
U0026,B0156,4
U0181,B0057,2
U0050,B0161,1
U0297,B0094,2
U0213,B0045,2
U0272,B0129,3
U0152,B0192,3
U0073,B0194,2
U0286,B0094,1
U0275,B0032,4
U0300,B0098,3
U0242,B0007,5
U0114,B0166,1
U0210,B0030,2
U0253,B0030,1
U0199,B0117,3
U0215,B0151,2
U0251,B0158,4
U0112,B0114,4
U0189,B0140,3
U0098,B0032,4
U0011,B0013,3
U0106,B0018,5
U0120,B0085,2
U0075,B0034,5
U0014,B0034,1
U0166,B0005,2
U0216,B0135,1
U0230,B0200,3
U0232,B0129,2
U0155,B0118,1
U0219,B0176,1
U0038,B0021,3
U0065,B0071,5
U0167,B0098,5
U0259,B0155,4
U0283,B0185,2
U0212,B0087,4
U0161,B0110,3
U0079,B0176,4
U0048,B0111,1
U0067,B0143,1
U0169,B0172,1
U0027,B0074,5
U0296,B0130,2
U0115,B0028,3
U0143,B0147,2
U0286,B0007,5
U0015,B0047,3
U0174,B0090,1
U0206,B0018,2
U0047,B0192,5
U0233,B0088,2
U0291,B0153,1
U0026,B0173,1
U0249,B0156,4
U0263,B0030,3
U0250,B0135,3
U0029,B0002,2
U0131,B0075,3
U0221,B0045,2
U0257,B0144,3
